date,channel,total_spend,total_impressions,total_clicks,attributed_orders,attributed_revenue,attributed_margin,promo_flag,day_of_week,week_index,roas
2025-07-07,search,142097.27000000002,643130,18483,38.0,271777.27,119050.81999999999,0,0,0,1.9126142958270766
2025-07-08,email,16823.84,296476,3818,11.0,81617.19,34594.850000000006,0,1,0,4.851281871439577
2025-07-08,organic,3983.4300000000003,619664,6511,7.0,56268.34,21781.84,0,1,0,14.125600299239599
2025-07-08,paid_social,112896.66,609260,10711,12.0,65108.270000000004,24415.690000000002,0,1,0,0.5767067865426666
2025-07-08,referral,28023.88,139087,3192,5.0,27561.98,10562.32,0,1,0,0.983517628536805
2025-07-08,search,164299.43,719951,21797,39.0,283961.68,120119.73999999999,0,1,0,1.7283181079812633
2025-07-09,email,15581.03,315245,3706,10.0,66176.97,22981.32,0,2,0,4.247278260808175
2025-07-09,organic,4299.44,524325,6356,6.0,37303.53,12922.17,0,2,0,8.676369480676554
2025-07-09,paid_social,103999.9,567338,10404,12.0,52838.67,20221.18,0,2,0,0.5080646231390608
2025-07-09,referral,25101.84,141954,3181,6.0,34088.490000000005,13869.86,0,2,0,1.3580076201585225
2025-07-09,search,121643.62,533034,16040,21.0,155923.3,68936.8,0,2,0,1.2818041751799232
2025-07-10,email,15100.42,302880,3209,8.0,66464.94,25325.65,0,3,0,4.401529228988333
2025-07-10,organic,4000.9900000000002,701328,8086,11.0,76244.76,30247.04,0,3,0,19.056473522803103
2025-07-10,paid_social,98717.89,578775,9278,10.0,57186.520000000004,22250.98,0,3,0,0.579292365345329
2025-07-10,referral,30758.420000000002,105630,2225,4.0,39725.020000000004,16164.890000000001,0,3,0,1.291516924471413
2025-07-10,search,132412.64,565509,15633,36.0,239082.19,95691.42000000001,0,3,0,1.8055843460261798
2025-07-11,email,18312.05,293849,3278,9.0,71906.47,27098.979999999996,0,4,1,3.926729667077143
2025-07-11,organic,3884.63,709709,8586,11.0,73448.83,24638.950000000004,0,4,1,18.907548466649335
2025-07-11,paid_social,126939.26,656144,13127,15.0,89881.09,33053.649999999994,0,4,1,0.7080637621489206
2025-07-11,referral,25529.19,128593,2255,2.0,12637.15,4917.92,0,4,1,0.4950078713817399
2025-07-11,search,147756.83000000002,634483,17478,27.0,191330.15,79337.63,0,4,1,1.2948988550986102
2025-07-12,email,17417.079999999998,337553,3166,17.0,151218.34,62578.25,0,5,1,8.682186681119912
2025-07-12,organic,3601.62,823122,9370,8.0,35908.729999999996,14001.51,0,5,1,9.970160649929753
2025-07-12,paid_social,110709.56999999999,594794,8252,11.0,62071.07,22972.54,0,5,1,0.5606658033266682
2025-07-12,referral,32635.16,137256,2855,6.0,44646.5,16975.98,0,5,1,1.3680490611965745
2025-07-12,search,152796.52,645936,18768,25.0,191216.71,84256.35,0,5,1,1.2514467606984767
2025-07-13,email,21663.329999999998,362786,4436,28.0,225116.4,93766.26,1,6,1,10.39158799685921
2025-07-13,organic,5270.34,513957,4553,15.0,100468.13,37619.42,1,6,1,19.062931423779112
2025-07-13,paid_social,173139.99,916946,18850,29.0,179068.72999999998,67151.79,1,6,1,1.0342424647246427
2025-07-13,referral,43413.01,135974,2922,11.0,69418.84,24766.049999999996,1,6,1,1.599033100906848
2025-07-13,search,206584.52,924081,27685,39.0,225918.17,100062.09,1,6,1,1.0935871187250623
2025-07-14,email,16675.129999999997,313577,3598,12.0,96701.29999999999,40268.02,0,0,1,5.799133200160958
2025-07-14,organic,3758.0,532151,4605,9.0,80201.70999999999,31947.3,0,0,1,21.341593932943052
2025-07-14,paid_social,121136.74,623817,12212,15.0,76326.34,28162.960000000003,0,0,1,0.6300841511832
2025-07-14,referral,26919.32,140503,2925,4.0,27043.190000000002,11378.07,0,0,1,1.0046015278246256
2025-07-14,search,131384.79,571000,17856,31.0,240650.44999999998,102482.5,0,0,1,1.8316461897910707
2025-07-15,email,14510.97,243744,3100,9.0,49895.48,20682.010000000002,0,1,1,3.438466208668339
2025-07-15,organic,4215.09,585408,5097,8.0,50317.85,21349.079999999998,0,1,1,11.937550562384194
2025-07-15,paid_social,114105.85,614266,10601,13.0,62703.77,23285.91,0,1,1,0.549522833404247
2025-07-15,referral,24761.54,115631,2277,8.0,45274.44,16231.86,0,1,1,1.828417780154223
2025-07-15,search,142963.8,591963,17202,39.0,253078.0,108095.5,0,1,1,1.7702243504999169
2025-07-16,email,15747.42,312632,4313,9.0,72646.88,29576.049999999996,0,2,1,4.613256012730974
2025-07-16,organic,4215.59,559192,4172,5.0,26641.08,9617.48,0,2,1,6.319656323314175
2025-07-16,paid_social,117526.5,610526,9708,8.0,47684.84,16476.67,0,2,1,0.40573691890765057
2025-07-16,referral,29653.21,81361,1423,3.0,25942.52,9644.55,0,2,1,0.8748638005801058
2025-07-16,search,110627.47,490924,15713,21.0,143355.09,59125.399999999994,0,2,1,1.2958362873163418
2025-07-17,email,14927.800000000001,341147,3563,7.0,23740.54,10321.02,0,3,1,1.5903575878562146
2025-07-17,organic,3811.99,650824,4989,10.0,55892.27,20052.46,0,3,1,14.662228914556438
2025-07-17,paid_social,119941.52,651405,12011,20.0,88733.74,31514.49,0,3,1,0.7398083666106616
2025-07-17,referral,28436.7,136167,2857,4.0,39040.29000000001,14581.360000000004,0,3,1,1.3728839844285732
2025-07-17,search,174418.03,749023,19804,39.0,242497.06,104011.62,0,3,1,1.390321057977779
2025-07-18,email,16103.81,294037,3968,12.0,93144.34,37746.29,0,4,2,5.783993974096813
2025-07-18,organic,4161.18,601208,6973,9.0,72358.65,26394.219999999998,0,4,2,17.38897380070076
2025-07-18,paid_social,114297.72,591601,11167,12.0,53983.98,20372.89,0,4,2,0.47231020881256425
2025-07-18,referral,32166.12,121475,1929,6.0,42758.64,18215.5,0,4,2,1.3293067364046394
2025-07-18,search,179857.0,775049,24493,38.0,290412.27999999997,121019.1,0,4,2,1.6146843325530837
2025-07-19,email,17858.19,291446,2500,9.0,49124.6,20231.890000000003,0,5,2,2.7508162921326296
2025-07-19,organic,4365.1900000000005,820612,9729,11.0,78747.84999999999,30941.44,0,5,2,18.039959314485735
2025-07-19,paid_social,126266.34,683132,12805,17.0,114917.09999999999,39847.95,0,5,2,0.9101166629206168
2025-07-19,referral,33482.46,151614,3277,9.0,73583.23999999999,29209.25,0,5,2,2.197665285047753
2025-07-19,search,143372.95,590353,18805,36.0,256713.93,114152.83,0,5,2,1.7905325237431466
2025-07-20,email,19055.82,307375,3602,19.0,102792.04000000001,40064.340000000004,0,6,2,5.394259601528562
2025-07-20,organic,3718.44,868908,9245,19.0,89824.58,33750.68,0,6,2,24.156522627768634
2025-07-20,paid_social,151109.04,723753,14162,13.0,89562.76,33577.49,0,6,2,0.5927028588097707
2025-07-20,referral,32120.98,93986,1987,4.0,17232.99,6089.699999999999,0,6,2,0.5365026222736666
2025-07-20,search,187189.37,782608,22127,28.0,205349.5,83685.0,0,6,2,1.0970147503568177
2025-07-21,email,15359.34,319354,3664,11.0,96063.54000000001,38258.64,0,0,2,6.254405462734727
2025-07-21,organic,4137.04,573747,6941,10.0,55906.43,21340.520000000004,0,0,2,13.513630518438305
2025-07-21,paid_social,134805.76,711880,12682,9.0,52468.729999999996,17782.26,0,0,2,0.38921727083471797
2025-07-21,referral,27835.2,118365,2373,1.0,7487.95,2749.6400000000003,0,0,2,0.26901010231649136
2025-07-21,search,141601.0,628897,16044,28.0,282538.23,123975.91,0,0,2,1.9953123918616393
2025-07-22,email,15275.43,224075,2810,7.0,24017.73,8719.54,0,1,2,1.5723112213535069
2025-07-22,organic,3957.68,594742,6333,10.0,70239.45999999999,23103.139999999996,0,1,2,17.747634978067957
2025-07-22,paid_social,108876.66,575004,8623,10.0,53534.979999999996,18656.659999999996,0,1,2,0.4917029967671675
2025-07-22,referral,25894.97,116232,2714,3.0,20628.179999999997,8914.130000000001,0,1,2,0.7966095345930115
2025-07-22,search,133407.05,573983,16150,41.0,276842.58999999997,116532.27,0,1,2,2.075172114217352
2025-07-23,email,18267.97,320998,4507,19.0,106966.55,43911.71,0,2,2,5.855415243182466
2025-07-23,organic,3919.15,650691,8376,2.0,12591.29,4754.4400000000005,0,2,2,3.2127604199890283
2025-07-23,paid_social,117877.34,601772,12302,18.0,94796.78,34969.07,0,2,2,0.8041984998982841
2025-07-23,referral,30119.83,119752,2330,4.0,30777.010000000002,13141.0,0,2,2,1.0218188482471515
2025-07-23,search,145621.53,640537,20586,14.0,77206.22,32727.489999999998,0,2,2,0.530184101210858
2025-07-24,email,11762.55,289613,3393,14.0,67496.82,26678.680000000004,0,3,2,5.738281240037238
2025-07-24,organic,3791.79,698977,9442,12.0,87057.23000000001,32406.820000000003,0,3,2,22.959401760118574
2025-07-24,paid_social,111041.96,581895,9896,8.0,55976.61,19269.289999999997,0,3,2,0.5041032236822909
2025-07-24,referral,26275.54,138413,2383,2.0,20115.1,7432.919999999999,0,3,2,0.76554468528525
2025-07-24,search,113524.91,499380,15381,24.0,164135.09,72654.47,0,3,2,1.4458068277702223
2025-07-25,email,16424.04,337323,4670,20.0,141436.47,53849.81,0,4,3,8.611551725397648
2025-07-25,organic,4137.76,700376,7525,8.0,53310.619999999995,22279.979999999996,0,4,3,12.883932369204592
2025-07-25,paid_social,122060.12,656257,11513,21.0,142775.68,51437.32,0,4,3,1.1697160382932608
2025-07-25,referral,28336.66,120985,2563,8.0,51769.55,19648.92,0,4,3,1.8269460832716349
2025-07-25,search,152349.72,659780,17089,30.0,177822.18,74255.41,0,4,3,1.1671972879241261
2025-07-26,email,17473.39,332825,3223,13.0,118447.32,45910.939999999995,0,5,3,6.778725822522133
2025-07-26,organic,4659.77,689394,6368,9.0,69142.52,28716.07,0,5,3,14.83818300044852
2025-07-26,paid_social,140952.79,768194,14604,12.0,52754.88,19007.84,0,5,3,0.3742734003349632
2025-07-26,referral,30627.5,122171,2225,8.0,50051.4,18362.34,0,5,3,1.634198024651049
2025-07-26,search,129928.97,558972,15191,29.0,207441.95,82871.51,0,5,3,1.5965796542526276
2025-07-27,email,18269.57,283597,3998,17.0,122407.72,51542.28,0,6,3,6.700087632057022
2025-07-27,organic,3971.09,624963,6875,7.0,55343.95,21247.86,0,6,3,13.936715108446295
2025-07-27,paid_social,116453.6,610917,10928,12.0,97576.35,36887.89,0,6,3,0.8378989571812293
2025-07-27,referral,33038.49,128729,2382,9.0,43806.899999999994,17440.56,0,6,3,1.325935295469012
2025-07-27,search,143744.13,633081,17345,31.0,251122.22,105109.42000000001,0,6,3,1.7470085213218793
2025-07-28,email,14523.18,219811,2460,7.0,39964.57,16387.29,0,0,3,2.751778191828511
2025-07-28,organic,4694.21,491434,4866,10.0,48488.729999999996,20580.73,0,0,3,10.32947609927975
2025-07-28,paid_social,125284.3,648467,12391,17.0,143490.08000000002,52213.78,0,0,3,1.1453157338948297
2025-07-28,referral,28265.45,113327,2148,9.0,71589.34,29019.84,0,0,3,2.5327507610881836
2025-07-28,search,128644.02,557267,17244,32.0,208240.89,83167.64,0,0,3,1.6187374275150916
2025-07-29,email,14865.73,246515,2863,6.0,46904.5,19709.18,0,1,3,3.1552100031414536
2025-07-29,organic,3868.3999999999996,636335,7000,6.0,29365.84,10828.830000000002,0,1,3,7.59121083652156
2025-07-29,paid_social,125516.22,645558,11637,11.0,52200.57,19608.31,0,1,3,0.4158870463116241
2025-07-29,referral,28963.95,123022,2674,3.0,23616.3,10453.060000000001,0,1,3,0.8153687601311285
2025-07-29,search,139364.48,605121,18002,31.0,259640.12,114545.25,0,1,3,1.8630293744862392
2025-07-30,email,14177.78,342744,4013,14.0,88280.03,33408.54,0,2,3,6.226646908049074
2025-07-30,organic,3779.45,527313,4455,3.0,35728.28,14465.64,0,2,3,9.453301406289276
2025-07-30,paid_social,108261.37000000001,571150,9517,7.0,28070.61,9131.09,0,2,3,0.25928556049124446
2025-07-30,referral,27335.67,136303,2596,9.0,60748.740000000005,24002.260000000002,0,2,3,2.222324896371664
2025-07-30,search,148290.46000000002,622800,19261,31.0,217168.31,92946.45999999999,0,2,3,1.4644793063559178
2025-07-31,email,15319.91,353246,4452,14.0,108425.44,45900.81,0,3,3,7.077420167611951
2025-07-31,organic,4160.95,732183,8366,13.0,71345.34999999999,28481.42,0,3,3,17.14640887297372
2025-07-31,paid_social,131671.87,654285,12261,6.0,33405.08,11296.439999999999,0,3,3,0.2536994424093772
2025-07-31,referral,27399.33,145863,2539,3.0,17278.23,5653.490000000002,0,3,3,0.6306077557370928
2025-07-31,search,158379.74,739332,21875,34.0,292293.45999999996,123428.47,0,3,3,1.845523044803584
2025-08-01,email,16548.37,261670,3328,8.0,44693.869999999995,18417.989999999998,0,4,4,2.700801952095584
2025-08-01,organic,4345.49,541901,4619,3.0,24088.760000000002,10137.73,0,4,4,5.543393265201393
2025-08-01,paid_social,110016.36,672102,12283,12.0,57190.4,20117.43,0,4,4,0.5198354135694001
2025-08-01,referral,30516.010000000002,103593,1907,1.0,11468.96,5061.94,0,4,4,0.3758341932644536
2025-08-01,search,146014.85,632973,18214,38.0,255317.01,105800.48,0,4,4,1.748568792831688
2025-08-02,email,16285.82,293763,3148,11.0,112200.06,47959.82,0,5,4,6.889432647542463
2025-08-02,organic,4880.07,803302,9688,10.0,64867.15,23570.67,0,5,4,13.292258102855083
2025-08-02,paid_social,137969.15,746314,13156,14.0,84684.12,31657.11,0,5,4,0.6137902567349295
2025-08-02,referral,29826.16,148489,3262,3.0,11466.08,5115.38,0,5,4,0.3844303121823259
2025-08-02,search,156028.84,689349,19857,27.0,201626.04,84716.82,0,5,4,1.2922357174481334
2025-08-03,email,18529.43,305676,3550,9.0,57846.759999999995,22576.14,0,6,4,3.121885562588811
2025-08-03,organic,4433.45,722547,6660,9.0,81237.16,30510.109999999993,0,6,4,18.323689226223372
2025-08-03,paid_social,144336.31,760556,15913,9.0,54248.14,19244.11,0,6,4,0.3758454127031514
2025-08-03,referral,33877.36,97660,1623,2.0,12712.279999999999,5754.4,0,6,4,0.3752441158342916
2025-08-03,search,171931.16,707006,20517,20.0,167436.71,71816.17,0,6,4,0.9738590142705952
2025-08-04,email,15360.92,238044,2810,9.0,56676.26,21393.77,0,0,4,3.689639683039818
2025-08-04,organic,4404.38,587945,6669,5.0,34411.86,13920.699999999999,0,0,4,7.81309968712963
2025-08-04,paid_social,134403.97,718234,13479,9.0,82383.64,33724.630000000005,0,0,4,0.6129554060047482
2025-08-04,referral,25540.34,95821,1696,1.0,20293.47,8049.810000000001,0,0,4,0.7945653816668063
2025-08-04,search,135502.83,599792,14816,30.0,195892.5,80068.4,0,0,4,1.4456709132938406
2025-08-05,email,15721.8,266896,3229,12.0,74962.84,30504.22,0,1,4,4.768082535078681
2025-08-05,organic,4003.31,671369,7127,6.0,51845.77,19765.470000000005,0,1,4,12.950725774421665
2025-08-05,paid_social,100988.65,542677,10876,10.0,55691.649999999994,17529.45,0,1,4,0.5514644467472335
2025-08-05,referral,27629.02,111183,2419,8.0,40207.740000000005,15201.31,0,1,4,1.455272029192494
2025-08-05,search,150324.34,630362,14906,21.0,128261.36,54002.9,0,1,4,0.8532308207706084
2025-08-06,email,13483.35,294383,3374,16.0,128768.08,51862.54,0,2,4,9.550154820575006
2025-08-06,organic,3994.59,561641,5500,6.0,34556.68,14320.400000000001,0,2,4,8.650870302083568
2025-08-06,paid_social,110320.01999999999,543893,10766,11.0,72468.98,25570.559999999998,0,2,4,0.6568978141954652
2025-08-06,referral,32643.64,123359,2470,0.0,0.0,0.0,0,2,4,0.0
2025-08-06,search,127808.87,551054,15596,25.0,190154.88,77539.91,0,2,4,1.487806597460724
2025-08-07,email,16566.38,300538,3959,9.0,45792.53,20048.36,0,3,4,2.764184450676611
2025-08-07,organic,3598.75,602198,6264,5.0,34751.34,12480.18,0,3,4,9.656502952414032
2025-08-07,paid_social,117607.79000000001,625464,11873,16.0,100791.25,34983.53,0,3,4,0.8570116826444915
2025-08-07,referral,26682.59,128443,2985,5.0,24043.52,8457.039999999999,0,3,4,0.9010939342844904
2025-08-07,search,131150.44,580966,15750,27.0,170906.35,72515.99,0,3,4,1.3031321130146418
2025-08-08,email,18638.49,349077,4029,16.0,100440.04000000001,39982.87,0,4,5,5.388850706253565
2025-08-08,organic,4606.04,743488,7116,10.0,56869.09,22925.57,0,4,5,12.34663398494151
2025-08-08,paid_social,130434.79000000001,676562,11982,22.0,159867.45,56211.740000000005,0,4,5,1.2256503805464785
2025-08-08,referral,32417.809999999998,96910,1848,3.0,17815.8,8467.97,0,4,5,0.5495682774376184
2025-08-08,search,169433.13,770219,22747,40.0,269611.66000000003,109787.01000000001,0,4,5,1.5912570345598882
2025-08-09,email,14691.5,246169,2567,13.0,70719.84,29820.67,0,5,5,4.813656876425144
2025-08-09,organic,5212.26,681730,6444,11.0,70167.86,27956.049999999996,0,5,5,13.462079788805623
2025-08-09,paid_social,131125.48,727229,13996,25.0,146824.53,57593.96,0,5,5,1.119725395857464
2025-08-09,referral,32226.5,103139,1810,2.0,8806.79,3806.7900000000004,0,5,5,0.27327789241773076
2025-08-09,search,146999.53,667331,21052,32.0,228618.46,98411.05,0,5,5,1.5552325915599865
2025-08-10,email,16733.21,217741,2715,13.0,91265.67,37251.119999999995,0,6,5,5.4541639051921305
2025-08-10,organic,4557.5,839028,9066,13.0,94881.03,35699.3,0,6,5,20.818657158529895
2025-08-10,paid_social,154874.69,800859,15568,19.0,126048.19,43558.69,0,6,5,0.8138721052484431
2025-08-10,referral,33692.95,115823,2250,4.0,30026.059999999998,12206.78,0,6,5,0.8911674400727749
2025-08-10,search,178151.22,760581,21780,27.0,184729.21,78444.77,0,6,5,1.0369236315081085
2025-08-11,email,19002.79,311487,4245,21.0,130367.99,49183.84,1,0,5,6.86046575266053
2025-08-11,organic,5186.9,627690,6966,20.0,153311.12,63560.810000000005,1,0,5,29.55736952707783
2025-08-11,paid_social,156070.28,795355,15040,23.0,153212.83,56557.41,1,0,5,0.9816912611420957
2025-08-11,referral,33397.15,88244,1471,4.0,23294.58,8141.87,1,0,5,0.6975020323590486
2025-08-11,search,177070.05,778637,23388,44.0,293522.56,120103.55,1,0,5,1.6576635066178613
2025-08-12,email,16980.12,353689,4197,15.0,106301.54000000001,43187.03,0,1,5,6.260352694798389
2025-08-12,organic,3619.91,641811,6722,7.0,50723.85,19307.1,0,1,5,14.012461635786526
2025-08-12,paid_social,116420.65000000001,610007,9690,7.0,35194.76,12319.140000000001,0,1,5,0.3023068502022622
2025-08-12,referral,29868.58,112484,2151,1.0,10591.71,3504.5199999999986,0,1,5,0.35461043009075083
2025-08-12,search,121154.06,537133,16966,27.0,232777.74,100734.4,0,1,5,1.9213366848787403
2025-08-13,email,17988.09,329326,4765,19.0,113010.29999999999,48389.56999999999,1,2,5,6.28250692541565
2025-08-13,organic,4248.38,691693,6109,15.0,126700.67,47748.9,1,2,5,29.823290289475047
2025-08-13,paid_social,155867.94,777354,16036,10.0,62978.0,23595.26,1,2,5,0.40404716967453347
2025-08-13,referral,38923.17,127728,2607,5.0,46218.28,17530.39,1,2,5,1.1874233265173417
2025-08-13,search,163617.46,702085,18425,44.0,266677.64,113728.99,1,2,5,1.6298849768233783
2025-08-14,email,17275.27,331697,3799,18.0,98636.03,39068.75,1,3,5,5.709666476992834
2025-08-14,organic,4948.45,656287,4983,6.0,39897.82,16341.25,1,3,5,8.06269033737837
2025-08-14,paid_social,149923.65,772821,14392,25.0,179494.08,62284.33,1,3,5,1.1972365934260538
2025-08-14,referral,34581.08,150555,2709,6.0,64128.6,24145.35,1,3,5,1.854441793026707
2025-08-14,search,202946.47,896315,23823,39.0,260153.78,106294.57,1,3,5,1.2818837400818057
2025-08-15,email,22836.03,363715,4380,30.0,237713.47,92643.08,1,4,6,10.409579510974543
2025-08-15,organic,5186.66,504868,5695,12.0,93865.17,34287.08,1,4,6,18.097421076376705
2025-08-15,paid_social,158687.54,792629,14509,25.0,160418.27000000002,56572.04000000001,1,4,6,1.0109065273807887
2025-08-15,referral,28618.67,131596,2727,10.0,74599.51,30067.32,1,4,6,2.606672846781489
2025-08-15,search,185183.65,861102,23246,42.0,287828.21,119419.43999999999,1,4,6,1.5542852190244658
2025-08-16,email,23232.63,456833,5788,39.0,299193.29,122004.7,1,5,6,12.878149826343378
2025-08-16,organic,6257.63,673295,5798,13.0,115408.61000000002,44485.9,1,5,6,18.442862553394818
2025-08-16,paid_social,161713.04,838942,13697,28.0,153243.71,57483.78,1,5,6,0.9476274145857377
2025-08-16,referral,38542.270000000004,116497,2898,12.0,80331.43000000001,34551.79,1,5,6,2.0842423136987
2025-08-16,search,239157.44,1008704,27698,33.0,203096.64,89149.14,1,5,6,0.8492173189343388
2025-08-17,email,22974.48,394702,4606,23.0,179004.21000000002,73184.74,1,6,6,7.7914368464487564
2025-08-17,organic,5139.41,527119,5030,23.0,174700.25,62699.799999999996,1,6,6,33.99227732366167
2025-08-17,paid_social,176795.85,886098,18543,23.0,129874.35,47057.91,1,6,6,0.7346006707736635
2025-08-17,referral,41133.17,128698,2676,8.0,66441.25,25634.21,1,6,6,1.6152718110468998
2025-08-17,search,226730.72,984012,32901,34.0,236348.72,101789.76,1,6,6,1.0424203654449649
2025-08-18,email,20606.14,394387,4354,19.0,91749.51999999999,32556.0,1,0,6,4.452533079946074
2025-08-18,organic,4470.389999999999,593948,6403,7.0,47346.020000000004,16353.469999999998,1,0,6,10.59102673368543
2025-08-18,paid_social,140041.01,693654,12046,21.0,129826.56999999999,43944.76,1,0,6,0.9270610801792988
2025-08-18,referral,33531.51,129508,2983,11.0,63882.57,22893.3,1,0,6,1.9051504092717566
2025-08-18,search,180857.56,799185,20666,31.0,213593.84,87341.21,1,0,6,1.1810058700338542
2025-08-19,email,17870.6,363577,4758,24.0,177917.08,75938.07,1,1,6,9.955853748615043
2025-08-19,organic,4670.41,607283,6939,13.0,57384.89,23604.7,1,1,6,12.286906288741246
2025-08-19,paid_social,163884.86,842252,13843,20.0,142751.77,50424.590000000004,1,1,6,0.8710491621983874
2025-08-19,referral,39561.92,134660,2588,13.0,77655.98,31147.909999999996,1,1,6,1.9628971495822245
2025-08-19,search,169214.66,740950,20976,36.0,238345.56,97540.71,1,1,6,1.408539661989097
2025-08-20,email,19435.95,279638,4257,19.0,130820.5,54506.52,1,2,6,6.730851849279299
2025-08-20,organic,5088.93,600422,5678,15.0,101716.56,38355.69,1,2,6,19.987808832112055
2025-08-20,paid_social,141428.79,757649,14244,19.0,149706.09,55882.38,1,2,6,1.0585262731866687
2025-08-20,referral,40874.729999999996,117961,2595,11.0,70904.56999999999,29554.420000000002,1,2,6,1.7346798376405177
2025-08-20,search,146661.31,780691,21205,42.0,283829.81,119480.65,1,2,6,1.9352739314819976
2025-08-21,email,15366.23,322818,4455,12.0,75264.3,29484.17,0,3,6,4.8980328942102265
2025-08-21,organic,3464.61,565859,5340,8.0,31209.29,10433.11,0,3,6,9.008023991156291
2025-08-21,paid_social,116277.18,649973,11802,9.0,71142.73,28303.36,0,3,6,0.6118374215817756
2025-08-21,referral,27371.05,97948,1943,4.0,15323.150000000001,5699.86,0,3,6,0.559830550892275
2025-08-21,search,139741.5,616895,19013,32.0,213906.13,91817.0,0,3,6,1.5307273072065206
2025-08-22,email,15525.51,269065,2469,7.0,49487.969999999994,19894.93,0,4,7,3.1875262068685664
2025-08-22,organic,3930.2599999999998,646121,7753,6.0,24967.58,10947.910000000002,0,4,7,6.352653514016885
2025-08-22,paid_social,142075.41,770880,13921,13.0,94326.68,38425.05,0,4,7,0.663919815540212
2025-08-22,referral,28915.030000000002,120545,2228,5.0,36020.91,15119.41,0,4,7,1.245750393480484
2025-08-22,search,150545.18,646084,18708,38.0,296830.86,122130.49,0,4,7,1.9717061682081087
2025-08-23,email,12125.38,251067,2323,14.0,120148.18,48966.34,0,5,7,9.908817703032812
2025-08-23,organic,5018.55,770204,9920,13.0,65325.34,24668.159999999996,0,5,7,13.016775761923263
2025-08-23,paid_social,142307.6,756713,13852,7.0,54097.909999999996,20155.22,0,5,7,0.380147722257982
2025-08-23,referral,37438.729999999996,101944,2074,4.0,24293.06,10520.65,0,5,7,0.6488751087443405
2025-08-23,search,138486.51,619315,15947,27.0,264018.92,108991.51000000001,0,5,7,1.9064594811436866
2025-08-24,email,17633.16,262198,3347,12.0,68608.87,29591.649999999998,0,6,7,3.8909004398530946
2025-08-24,organic,4857.42,752568,6365,5.0,40617.86,12854.230000000003,0,6,7,8.362023461014283
2025-08-24,paid_social,124470.12,646401,10314,12.0,92657.31,35067.04,0,6,7,0.7444140810662029
2025-08-24,referral,36329.34,134408,2435,8.0,59790.81,22518.77,0,6,7,1.6457995108086192
2025-08-24,search,160056.88999999998,728669,19608,33.0,221399.89,96076.52,0,6,7,1.3832574780129743
2025-08-25,email,15228.18,352709,3654,15.0,107199.61,41539.03,0,0,7,7.0395549566658655
2025-08-25,organic,2905.34,646817,5716,8.0,52444.75,19843.43,0,0,7,18.05115752373216
2025-08-25,paid_social,113487.51999999999,592295,7460,7.0,66671.97,23446.239999999998,0,0,7,0.5874828351170244
2025-08-25,referral,26978.35,141333,3013,6.0,25407.489999999998,9568.449999999999,0,0,7,0.941773310821455
2025-08-25,search,152950.96,666078,20706,30.0,207953.82,82433.12,0,0,7,1.3596110805711845
2025-08-26,email,13942.12,224629,2866,13.0,70504.97,25445.549999999996,0,1,7,5.056976270466758
2025-08-26,organic,4610.32,618813,6433,8.0,56618.1,22732.71,0,1,7,12.280731055544951
2025-08-26,paid_social,144285.34,722412,10894,10.0,83754.83,35011.03,0,1,7,0.5804805256029476
2025-08-26,referral,25713.64,139911,2872,12.0,81670.27,28620.67,0,1,7,3.1761458121059487
2025-08-26,search,130106.28,572993,14282,29.0,173834.35,74065.38,0,1,7,1.3360949986426482
